name	birth_date	birth_place	death_date	death_place	num_books	adepts	readers
Мортимер Адлер	1902-12-28	Нью-Йорк, США	2001-06-28	Сан-Матео, Калифорния, США	13	14	708
Михаил Новорусский	1861-09-28	Новая Русса, Демянский уезд, Новгородская губерния, Российская империя	1925-09-21	Ленинград, СССР	2	0	2
Александр Пузиков	1911-06-06	Москва	1996-02-26		8	0	13
Галина Шатен	2000-02-21	Ростов-на-Дону, Россия			1	0	15
Джим Шутер	1951-09-27	Питсбург, Пенсильвания, США			12	0	77
Вернер Зомбарт	1863-01-19	Эрмслебен (провинция Саксония, Пруссия)	1941-05-18	Берлин, Германия	16	2	23
Владимир Караханов	1937-09-17	Баку, Азербайджанская ССР, СССР			2	1	2
Анна Гедымин	1961-07-30	Москва, СССР			5	1	4
Терри Брукс	1944-01-08	Стерлинг, Иллинойс, США			114	28	880
Имре Добози	1917-10-30	Валь, Австро-Венгрия (ныне — в медье Фейер, Венгрия)	1982-09-23	Будапешт, ВНР	5	0	0
Елена Улановская	1960-01-23	Пермь, Россия			1	0	2
Лариса Исарова	1930-10-31	Харьков, УССР, СССР	1992-01-01	Москва, Россия	13	1	114
Савелий Тартаковер	1887-02-22	Ростов-на-Дону	1956-02-04	Париж	3	0	3
Мордехай Рихлер	1931-01-27	Монреаль	2001-07-03	Монреаль	14	0	67
Алекс Веддинг	1905-05-11	Зальцбург, Австро-Венгрия	1966-04-15	Заальфельд, ГДР	2	0	1
Дмитрий Иванов	1967-02-26				6	0	6
Динис Буляков	1944-05-18	д. Арсланово, Мелеузовский район, Башкирская АССР	1995-03-14	Уфа, Башкортостан	2	0	0
Левко Лукьяненко	1928-08-24	Хрипівка, Городнянського району, Чернігівської області			6	1	4
Владимир Сысоев	1947-08-14	д. Папково (Тверская обл.)	2010-01-03		6	0	5
Фредерик Старр	1940-03-24	США			1	0	7
Алексей Жемчужников	1821-02-10	Почеп, Мглинский уезд, Черниговская губерния, Российская империя	1908-03-25	Тамбов, Российская империя	15	0	6
Николас Уэйд	1942-05-17	Эйлсбери, Бакингемшир, Великобритания			4	0	26
Илья Клаз	1922-03-17	г. Могилев, БССР	1980-12-22		1	0	1
Константин Ивлев	1974-01-12				7	0	4
Мануэль Васкес Монтальбан	1939-07-27	Испания, Барселона	2003-10-18	Бангкок	14	2	26
Сергей Степанов	1958-06-13	Москва, СССР			94	0	182
Ирен Голицына	1918-07-22	Тифлис, Грузинская Демократическая Республика	2006-10-20	Рим, Лацио, Италия	13	0	7
Ксения Степанычева	1978-08-04	Саратов			2	0	0
Поль Виалар	1898-09-18	коммуна Сен-Дени, Франция	1996-01-08	Вокрессон	4	0	12
Брайан Эвенсон	1966-08-12	Эймс, штат Айова			27	0	86
Стив Дитко	1927-11-02	Джонстаун, Пенсильвания, США			19	0	54
Лаури Виита	1916-12-17	Пирккала	1965-12-22	Хельсинки	4	0	1
Сергей Можнягун	1914-10-08	Российская империя	1977-12-03	Москва, СССР	5	0	0
Геннадий Тищенко	1948-06-14	Баку			1	0	7
Сергей Дробашенко	1921-10-23		2012-01-01		3	0	1
