name	birth_date	birth_place	death_date	death_place	num_books	adepts	readers
Мэри Дуглас  Лики	1913-02-06	Лондон, Великобритания	1996-12-09	Найроби, Кения	0	0	0
Дэвид Брукс	1961-08-11	Торонто, Канада			6	1	268
Эрик Литвин	1966-08-16	Нью-Йорк			5	0	10
Клод Пирон	1931-02-26	Намюр (Бельгия)	2008-01-22	Гланд, Швейцария	5	0	3
Юлия Сырых	1984-05-06				8	1	15
Франклин Рудольф Анкерсмит	1945-03-20	Девентер, Нидерланды			8	0	8
Грант Кардон	1958-03-21	Лейк-Чарльз, Луизиана, США			9	1	138
Геннадий Башкуев	1954-08-03	г. Улан-Удэ			4	1	1
Борис Талиновский	1952-12-30	Киев, Украинская ССР	2015-10-11	Киев, Украина	18	0	12
Дмитрий Лихачев	1906-11-28		1999-09-30		161	33	1422
Ричард Локридж	1898-09-26	Сент-Джозеф (Миссури, США)	1982-01-01	Трион (Северная Каролина, США)	2	0	2
Морин Уоткинс	1896-07-27	Луисвилл, Кентукки, США	1969-08-10	Джэксонвилл, Флорида, США	5	0	0
Николай Лобачевский	1792-12-01	Нижний Новгород, Российская империя	1856-02-24	Казань, Российская империя	7	0	1
Жиль Перро	1931-03-09	г. Париж, Франция			6	0	17
Андрей Житинкин	1960-11-18	Владимир			2	0	3
Дойл Ф. Брансон	1933-08-10	Лонгворт, штат Техас, США			1	1	10
Сигизмунд Миронин	1950-09-04	Вичуга, Ивановская область, РСФСР, СССР			5	0	6
Елена Земская	1926-11-05	Москва, РСФСР, СССР	2012-03-22	Москва, РФ	26	0	10
Кира Иларионова	1991-07-18	г. Североморск, Россия			1	0	21
Марина Соколян	1979-12-18	Полтава			10	4	73
Дмитрий Дашко	1972-07-30	Санкт-Петербург			24	1	49
Владимир Ильин	1957-02-21	г. Златоуст Челябинской области			76	5	251
Елена Митягина	1988-07-14	Горький			2	1	5
Дмитрий Лехович	1901-05-30	Санкт-Петербург	1995-05-15	Нью-Йорк, США	1	0	5
Сергей Крускоп	1972-02-13	Москва			7	0	37
Николай Ушаков	1899-06-06	Ростов, Ярославская губерния, Российская империя	1973-11-17	Киев, УССР, СССР	25	0	4
Чарльз Ллойд	1907-09-24	Раддингтон Гранж, Ноттингемшир, Великобритания	1985-11-08	Салби, остров Мэн	1	0	41
Юрий Карабчиевский	1938-10-14	г.Москва	1992-07-30	г.Москва	7	1	55
Фред Алан Вольф	1934-12-03				11	1	9
Олег Мелехов	1979-01-27	Россия, Санкт-Петербург			2	0	4
Джон Дж. Нэнс	1946-07-05	Даллас, штат Техас, США			5	0	41
Томас Эспедаль	1961-11-12	Берген, Норвегия			2	1	86
Инесса Бим	2011-11-05				133	0	1
Ги де Кар	1911-05-06	г. Париж, Франция	1993-12-21	г. Париж Франция	12	1	167
Вилли Лей	1906-10-02	Берлин, Германская империя	1969-07-24	Джексон Хейтс, Куинс, Нью-Йорк, США	2	0	3
Илья Ильф	1897-10-15	Одесса	1937-04-12		492	5	562
Николай Кареев	1850-12-06	Москва	1931-02-18	Ленинград	58	1	8
Джон Фанте	1909-04-08	Денвер, США	1983-05-08	Лос-Анджелес, США	17	12	382
Анатолий Цирульников	1949-06-19				7	1	39
Тимоти Кларк	1943-04-12	Бристоль			0	0	0
Жюль Сюпервьель	1884-01-16	Монтевидео, Уругвай	1960-05-17	Париж, Франция	3	2	77
Эдвард Ван Де Фендел	1964-08-01				2	1	24
Глеб Глинка	1903-03-20	Симбирск	1989-06-05	Кэбот, штат Вермонт, США	3	0	1
Энтони Бакеридж	1912-06-20	London, England	2004-06-28		1	0	2
Глеб Голубев	1926-01-15	г. Калинин (Тверь)	1989-10-14		33	0	80
Эзра Паунд	1885-10-30	Хейли, шт. Айдахо, США	1972-11-01	Венеция, Италия	28	8	51
Юрий Издрык	1962-08-16	Калуш, УССР			21	16	482
Майкл Крайтон	1942-10-23	Чикаго, Иллинойс, США	2008-11-04	Лос-Анджелес, Калифорния, США	89	57	2010
Юрий Минералов	1948-05-30	с. Калигорка, Киевская обл.	2012-08-29	г. Люберцы, Московская облсть	19	0	10
Игорь Чубайс	1947-04-26	Восточный Берлин			6	0	3
Иван Мартынов	1908-01-15	Карачев, Брянская губерния, Российская Империя	1974-01-01	Москва, СССР	21	0	4
Фаина Гримберг	1951-07-14	г.Акмолинск, СССР			35	1	48
Гарри Стайлс	1994-02-01	Реддич, Вустершир, Англия			1	0	16
Патриция Робинс	1921-02-01	Сассекс, Англия	2016-01-01	Англия	1	1	12
София Андрухович	1982-11-17	Ивано-Франковск			8	3	481
Мари-Од Мюрай	1954-05-06	Гавр, Франция			14	40	3979
Алексей Тарновицкий	1955-02-20	г. Арсеньев, Приморский край, СССР			2	0	6
Станислав Тельнюк	1935-04-26	с. Искровка, Запорожская область, Украинская ССР, СССР	1990-08-31	г. Киев, Украина	2	0	0
Антон Деникин	1872-12-04	Влоцлавек, Российская империя	1947-08-08	Энн-Арбор, Мичиган, США	86	4	165
Феликс Зигель	1920-03-20		1988-11-20		33	1	32
Carlos Bousoño	1923-05-09	Boal, Asturias	2015-10-24	Spanish	1	0	0
Натаниель Готорн	1804-07-04	Сейлем, Массачусетс, США	1864-05-19	Плимут, Нью-Гэмпшир, США	112	14	2576
Валерий Приемыхов	1943-12-26	Белогорск, Амурская область, СССР	2000-08-25	Москва, Россия	6	1	46
Данило Киш	1935-02-22	Суботица, Королевство Югославия	1989-10-15	Париж, Франция	23	2	15
Кеннет Дж. Харви	1962-01-22	Сент-Джонс, провинция Ньюфаундленд и Лабрадор, Канада			7	0	207
Джефф Сазерленд	1941-07-20	Норт-Эттлборо, Массачусетс, США			4	0	427
Алиса Фрейндлих	1934-12-08	Ленинград, РСФСР, СССР			0	0	0
Федор Хитрук	1917-04-18	Тверь, Российская империя	2012-12-03	Москва, Россия	17	2	103
Гаэтан Гасьян де Клерамбо	1872-07-02	Бурж	1934-11-17	Малакоф	1	0	1
Сюзанна Шолль	1949-09-19	Вена, Австрия			1	0	8
Леонард Нимой	1931-03-26	Бостон, США	2015-02-27		2	1	45
Марк Теплинский	1924-09-14	г. Полтава, Украинская ССР	2012-04-19	г. Ивано-Франковск, Украина	1	0	0
Александр Емелин	1945-11-12	г. Волгоград			2	0	1
Никколо Амманити	1966-09-25	Рим, Италия			32	19	2280
Родриго Кортес	1959-11-12				10	5	529
Отто Вейнингер	1880-04-03	Вена	1903-10-04	Вена	26	4	214
Стивен Котлер	1967-05-25	Чикаго, Иллинойс, США			10	0	19
Филипп Полле-Виллар	1960-10-30	Анси, Верхняя Савойя, Франция			1	0	1
Фриц Байерлейн	1899-01-14	Вюрцбург, Бавария, Германская Империя	1970-01-30	Вюрцбург, Бавария, Германия	2	0	5
Людмила Зубова	1946-09-12				3	0	9
Александр Киреев	1977-06-19				1	0	2
Михай Бабич	1883-11-26	Сексард, Венгрия	1941-08-04	Будапешт, Венгрия	2	0	5
Клайв Касслер	1931-07-15	Aurora, Illinois, USA			258	9	241
Габриэла Адамештяну	1942-04-02	Тыргу-Окна, Бакэу, Румыния			1	0	0
Маргарита Старасте	1914-02-02		2014-02-18		4	0	54
Дэймон Гэлгут	1963-11-12	Претория, ЮАР			5	0	188
Владимир Бибихин	1938-08-29	Бежецк	2004-12-12	Москва	31	6	100
Ник Хоакин	1917-05-04		2004-04-29		6	1	47
Джеймс Хоган	1941-06-27	Лондон, Великобритания	2010-07-12	Ирландия	13	0	19
Алексей Бадмаев	1925-09-16	село Бага-Ханата, Калмыцкая АО, СССР	2007-01-01		8	0	5
Говард Хендрикс	1959-03-05	Цинциннати, Огайо, США			0	0	0
Макс Люшер	1923-09-09				9	0	20
Юрий Золотов	1932-10-04	с.Высоковское Клинского района Московской области			51	0	16
Одри Лиллиан Баркер	1918-04-13		2002-02-21		4	0	0
Янош Пилинский	1921-11-27	Будапешт, Венгрия	1981-05-27	Будапешт, Венгрия	2	0	5
Джордж Ланжелен	1908-01-19	Париж, Франция	1972-02-09	Париж, Франция	1	0	72
Иван Кочерга	1881-10-06	Носівка	1952-12-29	Київ	4	0	49
Ду́льсе Мария Лойнас	1902-12-10	Гавана (Куба)	1997-04-27	Гавана (Куба)	1	0	0
Ник Мейсон	1944-01-27	Бирмингем			5	0	214
Сергей Образцов	1901-07-05		1992-05-08		28	1	47
Лида Павлова	1992-06-04				1	0	3
К. В. Керам	1915-01-20	Берлин	1972-04-12	Гамбург	25	0	245
Себастьян Чарльз Фолкс	1953-04-20	Ньюбери, Великобритания			55	8	1022
Татьяна Пострелова	1931-09-19	Ленинград	2010-01-01		2	0	0
Арсений Стадницкий	1862-01-22	с.Комарово, Кишиневская губ.	1936-02-10	г.Ташкент	3	0	1
Брэд Мельцер	1970-04-01				18	0	33
Наталья Поклонская	1980-03-18	пос. Михайловка, Ворошиловградская область, Украинская ССР (Луганская область)			1	0	2
Роберт ван Гулик	1910-08-09	Зютфен, Нидерланды	1967-09-24	Гаага, Нидерланды	79	18	737
Павел Мороз	1985-12-01				3	2	16
Надежда Сосновская	1950-02-15	Москва			1	0	2
Сюити Саэ	1934-01-19	Токио			0	0	0
Елена Арсеньева	1952-09-17	Хабаровск			378	6	353
Бенедикт Герц	1872-06-07	Варшава, Польша	1959-10-31	Подкова-Лесьна, Польша	4	0	3
Федериго Тоцци	1883-01-01	Сиена, Королевство Италия	1920-03-21	Рим, Королевство Италия	4	0	4
Генри Минцберг	1939-09-02	Монреаль, Канада			15	2	28
Мария Белахова	1903-09-10	село Старо-Хмелевое (ныне Мичуринский район Тамбовской области)	1969-07-10	Тамбовская область	9	1	37
Эд МакГиннесс	1974-03-01	Куинси, Массачусетс, США			18	0	153
Александр Шаховской	1777-04-24	поместье Беззаботы, Смоленское наместничество	1846-01-22	Москва	1	0	2
Фурутани Дейл	1946-12-01				8	0	23
Лон Лавуа Фуллер	1902-06-15		1978-04-08		1	0	6
Галина Печаткина	1931-12-06	Симферополь, АР Крым			2	0	1
Андрей Рябых	1971-10-04	г. Елец Липецкой области			4	0	45
Дана Рейнхардт	1971-03-11	Лос-Анджелес, Калифорния, США			6	1	131
Фритьоф Шуон	1907-06-18	г.Базель. Швейцария	1998-05-05	Блумингтон, США	6	2	13
Иван Снежный	1990-12-11				0	0	6
Борис Вильде	1908-06-25	Санкт-Петербург, Россия	1942-02-23	Форт Мон-Валерьен, Франция	1	0	5
Виталий Терлецкий	1989-01-03				13	0	104
Александр Уланов	1963-01-18	г. Куйбышев (ныне Самара)			4	0	4
Алексей Саморядов	1962-07-05	Оренбург, СССР	1994-01-25	Ялта, Украина	5	0	0
Дежё Костолани	1885-03-29	Суботица, Австро-Венгрия, совр. Сербия	1936-11-03	Будапешт, Венгрия	4	1	18
Альберто Савинио	1891-08-25	Афины	1952-05-05	Рим	3	0	9
Эдвард Хуэм	1949-03-10				3	0	8
Джон Скальци	1969-05-10	Фэрфилд, Калифорния, США			44	7	506
Янко Веселинович	1862-05-13	Салаш Црнобарски, Сербия	1905-06-26	Глоговац, Сербия	1	0	3
Джером Дэвид Сэлинджер	1919-01-01	г. Нью-Йорк, шт. Нью-Йорк, США	2010-01-27	г. Корниш, шт. Нью-Гэмпшир, США	198	738	63015
Эрик Найдич	1919-01-07	Красноярск	2014-03-29	Израиль	2	0	0
Олег Колобов	1948-06-26	с. Бестужево, Арзамасский район, Горьковская область, СССР			1	0	0
Гела Чкванава	1967-09-13	г. Сухуми, Абхазская АССР, Грузинская ССР			2	1	1
Мартин Поллак	1944-05-23	Бад-Халль, Австрия			6	2	30
Бернард Кангро	1910-09-18	уезд Вырумаа, Лифляндская губерния, Российская империя	1994-03-25	Лунд, Швеция	2	0	1
Стивен Танни	1959-12-31	Бронкс, Нью-Йорк			2	1	115
Сильвиана Шатлен	1950-11-14	Трамелан, Швейцария			1	0	4
Джульетто Кьеза	1940-09-04	Акви-Терме, Алессандрия, Италия			13	1	22
Сергей Бархин	1938-03-31	Москва			2	0	4
Антун Шолян	1932-12-01	Белград, Королевство Югославия	1993-07-12	Загреб, Хорватия	6	0	4
Игги Поп	1947-04-21	Маскегон, штат Мичиган, США			3	1	29
Віктар Шніп	1960-03-26	в. Пугачы, Валожынскі раён			6	0	5
Николай Смирнов	1890-03-15	г.Вязьма, Смоленская губерния, Российская империя	1933-06-27	г.Москва, СССР	17	2	85
Ат-Тайиб Салих	1928-07-12	Кармакол, Судан	2009-02-18	Лондон, Англия	2	1	18
Макс Эйве	1901-05-20	Ватерграфсмер, Нидерланды	1981-11-26	Амстердам, Нидерланды	11	0	1
Ярослав Питерский	1966-09-15	Красноярск			7	0	3
Дорин Верче	1958-04-29	California			59	2	72
Кирмен Урибе	1970-10-05	Ондарроа			4	0	1
Александр Семенов	1952-09-19	Сахалин			8	0	0
Вольфганг Херрндорф	1965-06-12	Гамбург, Германия	2013-08-23	Берлин, Германия	13	0	275
Эндрю Макдоналд	1933-09-11	Атланта, Джорджия, США	2002-07-23	Милл Поинт, Западная Виргиния, США	3	2	182
Даррен Роуз	1972-04-27	Melbourne, Australia			2	0	1
Кристоф Лоде	1977-01-11	Кайзерслаутерн, Германия			3	0	1
Джинн Калогридис	1954-12-17	Флорида, США			37	13	780
Эван Ознос	1976-12-24	Лондон			1	0	69
Джанет Дейли	1944-05-21	Сторм-Лейк, штат Айова, США	2013-12-14	Брэнсон, Миссури, США	30	0	52
Анна Ривелотэ	1973-04-19				6	6	216
Уильям Блейк	1757-11-28	Лондон, Великобритания	1827-07-12	Лондон, Великобритания	51	40	658
Тадатоси Фудзимаки	1982-07-09	Токио, Япония			31	0	27
Коле Чашуле	1921-03-02	Прилеп, Македония	2009-09-22	Скопье, Македония	0	0	0
Иван Головченко	1918-10-14	с. Лиман Второй, Харьковская губерния, Украинская Держава (Украина)	1992-11-09	Киев, Украина	14	0	3
Валентин Федоров	1939-09-06	п.Жатай, Якутская АССР			12	0	0
Игорь Васильев	1948-09-15		2004-08-08		1	0	2
Гейл Карсон Ливайн	1947-09-17	Нью-Йорк, США			13	7	487
Эдгар Дельгадо	1976-11-03	Монтеррей, Нуэво-Леон, Мексика			2	0	13
Игорь Стравинский	1882-06-05	Ораниенбаум, Санкт-Петербургская губерния, Российская империя	1971-04-06	Нью-Йорк, США	6	0	18
Маргарет Уэйс	1948-03-16	Индепенденс, штат Миссури			109	12	296
Ирина Дубровина	1935-06-06	СССР			29	0	7
Анастасия Зеленова	1982-08-22	Горький (Нижний Новгород)			1	0	1
Генри Мортон Стэнли	1841-01-28	Денби, Уэльс	1904-05-10	Лондон, Великобритания	9	0	9
Алексей Кулаков	1978-02-10	г. Челябинск			16	4	101
Джерри Конлон	1954-03-01	Белфаст, Северная Ирландия, Великобритания	2014-06-21	Белфаст, Северная Ирландия, Великобритания	1	0	0
Александр Западов	1907-01-23	г. Кронштадт	1998-10-23	г. Москва	15	0	14
Маркус Хайц	1971-10-10	Хомбург			18	2	79
Янис Ксенакис	1922-05-29	Бралиа, Румыния	2001-02-04	Париж, Франция	2	1	2
Михаил Козырев	1967-08-05	Свердловск			18	1	64
Ив Бонфуа	1923-06-24	Тур, Франция	2016-07-01	Париж, Франция	6	4	16
Joaquín Salvador Lavado	1932-07-17	Мендоса, Аргентина			5	0	1
Федор Анич	1989-10-10	Россия			3	1	15
Екатерина Зиновьева	1986-03-16				4	3	201
Dorothy Dinnerstein	1923-04-04		1992-12-17		1	0	0
Наталия Будур	1965-12-21	Москва, СССР			40	0	218
Натали фон Эшструт	1860-05-17	Хофгайсмар, Гессен	1939-12-01	Шверин	1	0	0
Джек Данн	1945-02-15	Джонсон-Сити, Нью-Йорк, США			6	0	55
Борис Воронцов-Вельяминов	1904-02-01	Екатеринослав (Днепропетровск)	1994-01-27	Москва	39	0	36
Трейси Хикмен	1955-11-26	Солт-Лейк-Сити			75	5	5
Анатолий Степанов	1931-08-09	г.Воронеж, РСФСР, СССР	2012-05-14	г.Москва, Россия	43	0	19
Виктор Шалкевич	1959-02-09	м. Поразава, Сьвіслацкі раён			3	0	5
Александр Губер	1902-04-01	село Каменка, Чигиринский уезд, Киевская губерния, Российская империя	1971-06-16	Москва, СССР	4	0	4
Фридрих-Арнольд Брокгауз	1772-03-04	Дортмунд	1823-08-20	Лейпциг	22	0	2
Дмитрий Светлов	1948-02-10	г. Минск			15	0	29
Роберт Штильмарк	1909-04-03	Москва	1985-09-30		66	7	840
Алексей Евтушенко	1957-12-24	Дрезден, ГДР			38	2	80
Клавдия Калина	1925-11-01	в. Блювінічы, Берасцейскі раён, Берасцейская вобласць			1	0	1
Роберт Чарлз Уилсон	1953-12-15	Калифорния, США			31	6	1055
Джулиан Ассанж	1971-07-03	Таунсвилл, Австралия			7	1	96
Франсуа Люка	1842-04-04	Амьен	1891-10-08	Париж	1	0	0
Самуил Эйдлин	1914-10-23	Белоруссия, село Баево Витебской области	1989-03-31	г. Куйбышев (Самара)	10	0	7
Орест Миллер	1833-08-04	Хаапсалу, Эстония	1889-06-01	Сан-Петербург	5	0	1
Сибилла Левичарофф	1954-04-16	Штутгарт, Германия			1	0	0
Климент Ворошилов	1881-01-23	с.Верхнее, Бахмутский уезд, Екатеринославской губерния, Российская империя	1960-05-07	Москва, СССР	27	0	4
Максим Шаттам	1976-02-19	Эрбл, департамент Валь-д’Уаз, Франция			25	5	313
Кен Робинсон	1950-03-04	Англия, Ливерпуль			9	1	310
Шэнь Цунвэнь	1902-01-28	Хунань	1988-05-10		0	0	0
Иосиф Кассирский	1898-04-16	Фергана	1971-02-21	Москва, СССР	9	0	0
Арт Богданов	1982-11-24				2	1	27
Алексей Тарасенко	1974-05-08	Москва			1	0	5
Фланнери О'Коннор	1925-03-25	Саванна, шт. Джорджия, США	1964-08-03	Милледжвиль, шт. Джорджия, США	26	26	778
David Bordwell	1947-07-23				12	0	3
Джордан Мехнер	1964-06-04	Нью-Йорк, США			7	0	36
Георгий Васильев	1957-06-22	Запорожье			14	1	1
Евгений Балагушкин	1931-11-09	Москва			5	0	3
Гюнтер Айх	1907-02-01	Лебус, Германия	1972-12-20	Зальцбург, Австрия	3	0	3
Андре Лори	1844-04-07	Корсика	1909-04-09	Франция	45	1	54
Пако Рабанн	1934-02-18	Пасахес, Испания			1	0	5
Леена Крун	1947-02-28	Helsinki, Finland			6	4	156
Роберт Паль	1938-04-15	Альшеевский совхоз Аургазинского района Башкортостана			3	0	1
Эрико Вериссимо	1905-12-17		1975-11-28		4	1	6
Теодор Адорно	1903-09-11	Франкфурт-на-Майне, Германская империя	1969-08-06	Висп, Швейцария	15	2	137
Юрий Буранов	1933-10-15	Надеждинск	2004-10-21	Москва	4	0	0
Семен Виленский	1928-06-13	Москва	2016-04-23	Москва	5	0	2
Даниил Веков	1959-12-19	Москва			3	0	2
Рэйчел Кон	1968-12-14	Силвер-Спринг, Мэриленд, США			13	0	241
Роуэн МакБрайт	2000-01-13				5	1	1
Эдвард Куровский	1927-08-27	Хыров, Małopolska Wschodnia			1	0	1
Валерий Подорога	1946-09-15	Москва			14	0	23
Вадим Бакатин	1937-11-06	Киселёвск, Кемеровская область, СССР			3	0	2
Андрей Муравьев	1976-09-27				8	0	5
Андре Стиль	1921-04-01	Эрни (департамент Нор, Франция)	2004-09-03	Камела (департамент Восточные Пиренеи, Франция)	17	0	5
Валерий Куринский	1939-07-13	Красноармейск,СССР	2015-05-03	Киев,Украина	3	0	12
Виктор Кунин	1932-07-18	СССР			13	0	30
Герман Людвиг Фердинанд Гельмгольц	1821-08-31	Потсдам, Германия	1894-09-08	Шарлоттенбург, Германия	8	0	1
Джин Стреттон-Портер	1863-08-17	Лагро, Индиана, США	1924-12-06	Лос-Анджелес, Калифорния, США	3	0	2
Видиадхар Найпол	1932-08-17	Тринидад и Табаго, г.Чагуанас	2018-08-11	Лондон, Великобритания	68	3	171
Николай Ляшко	1884-11-07	Лебедин, Харьковская губерния, Российская империя	1953-08-26	Москва, СССР	18	0	4
Дэвид Гудис	1917-03-02	Филадельфия	1967-01-07		5	0	1
Николай Борисов	1952-07-29	Ессентуки, Ставропольский край, СССР			54	0	141
Борис Лапин	1934-09-05	Иркутск, СССР	2005-06-04	Иркутск, Россия	14	0	30
Ольга Токарчук	1964-01-29	Сулехув, Польша			25	5	197
Мануэл Мендес	1906-01-18	Лиссабон	1969-05-07	Лиссабон	1	0	0
Вито Брускини	1943-03-19	Рим, Италия			2	0	23
Хосе Горостиса	1901-11-10	Сан Хуан Баутиста, в настоящее время Вильяэрмоса	1973-03-16	Мехико, Мексика	0	0	1
Эдуард Дауден	1843-05-03	Корк	1913-04-04		1	0	0
Алексей Игнатьев	1877-03-14	Санкт-Петербург	1954-11-20	Москва	27	2	23
Сесили фон Зигесар	1970-06-27	США			60	6	762
Сергей Буткевич	1905-10-08	Владикавказ	1971-05-03		1	0	1
Адріан Кащенко	1858-10-01	Катеринослав, Катеринославська губернія, Російська імперія	1921-03-16	Катеринослав, Катеринославська губернія, Українська РСР	6	0	11
Серхио Рамирес Меркадо	1942-08-05	Масатепе			2	0	2
Квентин Блейк	1932-12-16	Сидкап, Кент, Англия			8	1	1
Анатолий Баюканский	1925-12-16	г. Москва, СССР			12	0	1
Амвросий Юрасов	1938-09-08	село Огни, Алтайский край			9	0	5
Мартин Зелигман	2000-08-12	Олбани, штат Нью-Йорк			15	5	155
Жаклин Топаз	1949-04-03	Менард, Техас, США			6	0	3
Владимир Кайяк	1930-09-02	г. Цесис, Латвия	2013-09-12	Стабурагс, Латвия	8	0	33
Отар Лордкипанидзе	1930-10-30		2002-05-19		2	0	1
Николай Бартрам	1873-08-24	Семёновка, Курская губерния	1931-07-13	Москва	5	0	1
Иван Малкович	1961-05-10	Нижний Берёзов Косовского района Ивано-Франковской об			16	1	129
Марина Палей	1955-02-01	Ленинград			15	0	105
Виталий Москаленко	1954-10-06	ГДР			2	0	0
Ольга Батлер	1959-08-03	Москва			4	0	48
Филипп Жакоте	1925-06-30	Мудон, кантон Во, Швейцария			8	3	19
Алексей Апухтин	1840-11-15	г.Болхов	1893-08-17	Санкт-Петербург	43	1	61
Николай Вашкевич	1945-11-11				11	1	7
Микал Хем	1973-03-20				1	0	88
Якоб Огард	1973-07-31	Хёрсхольм			4	0	2
Мэри Уистлер	1908-04-12	Великобритания	2013-12-03	Великобритания	2	0	1
Мило Хастингс	1884-06-28		1957-02-25		1	0	1
Александр Плетнев	1933-08-28	Межозерье, Новосибирская область	2012-05-07		8	0	3
Цруйя Шалев	1959-05-13	кибуц Кинерет			3	0	3
Пётр I Великий Романов	1672-05-30		1725-01-28		6	0	4
Елена Чайковская	1939-12-30	Москва			10	0	9
Петр Баренбойм	1948-10-23	Пятигорск, Ставропольский край, СССР			11	0	2
Христос Яннарас	1935-04-10	Афины			5	0	8
Йост Ван Ден Вондел	1587-11-17	Кёльн, Германия	1679-02-05	Амстердам, Нидерланды	3	0	12
Мюррей Лейнстер	1896-06-16	Норфолк, штат Виргиния, США	1975-06-08		24	5	187
Аугуст Кицберг	1855-12-29	Лаатре, Лифляндская губерния, Российская империя	1927-10-10	Тарту, Эстония	3	0	3
Сандей Аделаджа	1967-05-28	Идомила, юго-запад Нигерии			76	1	23
Юрий Карпов	1956-06-06	Ленинград	2015-09-01	Санкт-Петербург	5	0	4
Мишель Пастуро	1947-06-17	Париж, Франция			16	15	630
Валентин Варенников	1923-12-15	Краснодар, СССР	2009-05-06	Москва, Россия	11	0	5
Владимир Успенский	1981-01-01	г.Ленинград, СССР			1	0	0
Бетти Лаймен-Рисивер	1930-10-25	Луисвилл, Кентукки, США	2003-12-22	Луисвилл, Кентукки, США	2	0	2
Аркадий Фидлер	1894-11-28	Познань, Польша	1985-03-07	Пущиково, Великопольское воеводство, Польша	26	3	284
Анджей Станислав Мостовский	1913-11-01	Лемберг, Цислейтания, Австро-Венгрия (сейчас Львов, Украина)	1975-08-22	Ванкувер, Канада	3	0	0
Майкл Шаара	1928-06-23	Джерси-Сити, Нью-Джерси, США	1988-05-05	Таллахасси, Флорида, США	1	0	2
Моник Швиттер	1972-03-02	Цюрих, Швейцария			3	0	15
Лаймен Фрэнк Баум	1856-05-15	Читтенанго, штат Нью-Йорк, США	1919-05-06	Голливуд, Калифорния, США	268	31	2055
Виктор Чернов	1873-11-25	Хвалынск, Саратовская губерния	1952-04-15	Нью-Йорк	16	0	15
Эдуард Бернштейн	1850-01-06	Шёнеберг (Берлин), Германия	1932-02-18	Шёнеберг (Берлин), Германия	6	0	0
Наталья Тимошенко	1977-02-02				1	0	51
Уильям Сандерс	1942-04-28	Арканзас, США			6	0	7
Анна Герман	1936-02-14	Ургенч, Узбекская ССР, СССР	1982-08-25	Варшава, Польская Народная Республика	6	1	41
Владимир Киселев	1922-05-03	Киев, Украинская ССР, СССР	1995-03-01	Киев, Украина	53	1	586
Дениза Левертов	1923-10-24	Илфорд, Англия	1997-10-20	Сиэтл, Вашингтон, США	6	0	0
Вениамин Борисов	1990-08-23	Москва			3	1	5
Джонатан Франклин	1964-09-06	Манчестер, Нью-Гэмпшир, США			1	0	12
Роберт Стрейндж Макнамара	1916-06-09	Сан-Франциско, Калифорния, США	2009-07-06	Вашингтон, США	3	0	4
Джон Бердетт	1951-07-24	г. Лондон, Англия, Великобритания			7	1	37
Евгений Ямбург	1951-03-24	Москва, СССР			12	3	33
Осип Турянский	1880-02-22	с. Обзоров, Радеховский р-н, Львовская обл.	1933-03-28	Львов	3	1	199
Вадим Волобуев	1979-01-23	Россия			7	0	18
Берта Брайнина	1902-07-04	г. Ярославль, Российская империя	1984-01-01	СССР	14	0	0
Ёсиюки Садамото	1962-01-29	Токуяма (ныне Сунан), префектура Ямагути, Япония			17	3	55
Віталій Портніков	1967-05-14	Київ			2	0	1
Анна Чубач	1941-01-06				8	0	5
Василь Земляк	1923-04-23	c. Конюшевка Подольская губерния УССР	1977-03-17	Киев	12	0	14
Герард Реве	1923-12-14	Амстердам, Нидерланды	2006-04-08	Зулте, Бельгия	17	29	321
Юрий Борев	1925-05-28	Харьков, СССР			44	0	55
Александр Шакилов	1978-12-05	Харьков, Украина			26	0	479
Сергей Аверинцев	1937-12-10	в Москве	2004-02-21	в Вене	39	2	64
Наталья Дурова	1934-04-13	Москва	2007-11-27		32	1	57
Уильям Тенн	1920-05-09	Лондон, Великобритания	2010-02-07	Маунт Лебанон, Пенсильвания, США	21	5	388
Борис Рогинский	1972-06-30	Ленинград, СССР (сейчас Санкт-Петербург)			3	0	12
Даниэла Стил	1947-08-14	США			1037	38	2052
Сантока Танэда	1882-12-03		1940-10-11		2	1	6
Элиф Батуман	1977-06-07	Нью-Йорк, США			8	0	12
Арон Белкин	1927-10-28		2003-04-27		5	1	37
Брайан Фрауд	1947-08-20	Уинчестер, Великобритания			9	1	41
Пауль Хейзе	1830-03-15	Берлин	1914-04-02	Мюнхен	4	0	19
Ирина Лукьянова	1969-07-30	Новосибирск, СССР			17	3	180
Александр Полежаев	1804-08-30	имение Рузаевка, Инсарский уезд, Пензенская губерния, Российская империя (ныне город Рузаевка,Рузаев	1838-01-16	Москва, Российская империя	24	0	14
Мартин Дэй	1968-02-24	UK			10	0	10
Терентий Новак	1912-10-30	село Гоща, Ровненская область	1983-08-11	Львов	1	0	3
Михаил Петров	1923-04-08		1987-04-11		2	0	0
Луиза Саломе	1861-02-12	Санкт-Петербург, Российская империя	1937-02-05	Гёттинген, Германия	14	7	46
Бенуа Дютертр	1960-03-20				17	0	117
Зои Сагг	1990-03-28	Лакоке, Уилтшир			9	46	5058
Лена Элтанг	1964-08-29	Ленинград			19	35	1231
Эдуардо Мендоса	1943-01-11	Барселона			19	1	330
Лана Рисова	1980-07-12	Москва			2	5	87
Надежда Опрышко	1984-10-08	Киев			13	0	102
Гавриил Батеньков	1793-04-25	Тобольск	1863-10-29	Калуга	3	0	1
